event_id,period,period_code,minute,second,team_id,player_id,player,type,outcome,x,y,end_x,end_y,is_shot,is_pass,is_key_pass,is_cross,shot_category,shot_whoscored_type,is_goal,is_own_goal,scoring_team,is_header,is_penalty,is_penalty_shootout,big_chance,body_part,assist_player,qualifier_names,is_direct_fk,assist_type,xG,xg_source,xT,player_role
2947778899.0,FirstHalf,1h,0,0,341,,,Start,Successful,0.0,0.0,,,False,False,False,False,,,False,False,341,False,False,False,False,,,[],False,,,,,
2947778901.0,FirstHalf,1h,0,0,345,,,Start,Successful,0.0,0.0,,,False,False,False,False,,,False,False,345,False,False,False,False,,,[],False,,,,,
2947778919.0,FirstHalf,1h,0,0,341,386153.0,Rayan Cherki,Pass,Unsuccessful,49.9,49.7,77.9,0.0,False,True,False,False,,,False,False,341,False,False,False,False,,,"['Longball', 'Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.0288,sub_out
2947778945.0,FirstHalf,1h,0,6,345,362219.0,Djed Spence,Pass,Successful,19.7,100.0,10.4,91.4,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'ThrowIn', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,-0.0012,
2947778957.0,FirstHalf,1h,0,9,345,374631.0,Marc Guéhi,Pass,Successful,13.3,90.3,15.6,74.2,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.004,sub_out
2947778967.0,FirstHalf,1h,0,11,345,332325.0,Declan Rice,Pass,Successful,14.3,80.9,10.4,91.1,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,-0.0024,
2947779003.0,FirstHalf,1h,0,13,345,374631.0,Marc Guéhi,Pass,Successful,12.5,91.7,3.4,68.5,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.0012,sub_out
2947779017.0,FirstHalf,1h,0,17,345,304008.0,Dean Henderson,Pass,Successful,4.4,64.8,7.2,84.2,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,-0.0012,
2947779033.0,FirstHalf,1h,0,19,345,374631.0,Marc Guéhi,Pass,Successful,6.8,82.3,19.7,96.3,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.0012,sub_out
2947779073.0,FirstHalf,1h,0,23,345,362219.0,Djed Spence,Pass,Successful,21.1,95.4,9.3,81.1,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.0012,
2947779087.0,FirstHalf,1h,0,30,345,374631.0,Marc Guéhi,Pass,Successful,20.4,68.1,28.5,33.6,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.004,sub_out
2947779099.0,FirstHalf,1h,0,33,345,332403.0,Eberechi Eze,Pass,Successful,29.8,23.3,29.6,4.3,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,-0.0042,sub_out
2947779109.0,FirstHalf,1h,0,36,345,430019.0,Jarell Quansah,Pass,Successful,29.6,4.3,11.7,15.9,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.0001,sub_out
2947779137.0,FirstHalf,1h,0,38,345,301440.0,Ezri Konsa,Pass,Successful,11.7,15.9,3.9,40.1,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,-0.0009,
2947779171.0,FirstHalf,1h,0,41,345,304008.0,Dean Henderson,Pass,Successful,5.0,43.1,24.1,72.9,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.0052,
2947779195.0,FirstHalf,1h,0,48,345,362219.0,Djed Spence,Pass,Successful,46.3,81.2,60.4,96.3,False,True,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']",False,,,,0.0139,
2947779199.0,FirstHalf,1h,0,52,345,300299.0,Marcus Rashford,TakeOn,Unsuccessful,69.0,82.0,,,False,False,False,False,,,False,False,345,False,False,False,False,,,"['Zone', 'OppositeRelatedEvent', 'Offensive']",False,,,,,sub_out
2947779201.0,FirstHalf,1h,0,52,341,371281.0,Michael Olise,Tackle,Unsuccessful,31.0,18.0,,,False,False,False,False,,,False,False,341,False,False,False,False,,,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Defensive']",False,,,,,
